"targetloanstatus","creditpolicy","loanamnt","term","intrate","installment","grade","emplength","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","revolbal_bin","verified","purpose_mod"
"NoDefault","Y",1200,"36months",0.1014,38.8,"B",2,19.76,0,3,0,11,"N","N","N","Gp1","Gp1","N","debt_consolidation"
"NoDefault","Y",15000,"36months",0.0999,483.94,"B",10,21.64,2,11,0.53,43,"Y","N","Y","Gp3","Gp4","Y","debt_consolidation"
"NoDefault","Y",18000,"60months",0.1864,463.38,"E",7,11.76,1,8,0.65,14,"N","N","N","Gp3","Gp3","Y","debt_consolidation"
"NoDefault","N",6700,"36months",0.16,235.56,"E",2,21.53,9,11,0.332,39,"N","N","Y","Gp3","Gp3","Y","debt_consolidation"
"NoDefault","Y",14000,"36months",0.1306,472.13,"C",1,15.89,0,10,0.755,17,"N","N","N","Gp2","Gp5","Y","debt_consolidation"
"NoDefault","Y",1350,"36months",0.0999,43.56,"B",7,23.37,0,6,0.12,11,"N","Y","N","Gp1","Gp1","Y","other"
"NoDefault","N",10000,"36months",0.1496,346.45,"D",3,16.19,4,8,0.832,36,"N","N","N","Gp3","Gp2","N","debt_consolidation"
"NoDefault","Y",10000,"36months",0.0749,311.02,"A",3,13.38,0,8,0.432,17,"N","N","N","Gp4","Gp3","N","debt_consolidation"
"NoDefault","Y",9250,"36months",0.079,289.44,"A",1,29.48,4,11,0.621,46,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"NoDefault","Y",15000,"36months",0.1372,510.63,"C",3,12.64,0,6,0.61,12,"N","N","N","Gp2","Gp4","Y","credit_card"
"NoDefault","Y",17800,"60months",0.1825,454.43,"D",4,14.12,1,9,0.367,17,"N","N","Y","Gp4","Gp3","Y","debt_consolidation"
"NoDefault","Y",5000,"36months",0.1036,162.19,"B",5,22.45,2,9,0.558,13,"N","N","N","Gp2","Gp2","Y","other"
"NoDefault","Y",3825,"36months",0.1427,131.24,"C",4,24.68,1,8,0.53,11,"N","N","N","Gp1","Gp2","Y","debt_consolidation"
"NoDefault","Y",15000,"36months",0.1062,488.4,"B",0,19.72,0,7,0.57,17,"N","N","N","Gp1","Gp2","Y","debt_consolidation"
"NoDefault","Y",5000,"36months",0.1427,171.55,"C",4,3.88,1,5,0.606,9,"N","N","N","Gp1","Gp2","Y","credit_card"
"NoDefault","Y",10000,"60months",0.1335,229.33,"C",3,18.09,0,10,0.132,20,"N","N","N","Gp1","Gp2","Y","debt_consolidation"
"NoDefault","Y",9250,"60months",0.1719,230.84,"E",4,7.1,0,5,0.928,12,"N","Y","Y","Gp2","Gp4","Y","debt_consolidation"
"NoDefault","Y",15000,"36months",0.0749,466.53,"A",7,6.75,0,8,0.398,17,"N","N","Y","Gp5","Gp4","Y","business"
"NoDefault","Y",16000,"60months",0.1361,369.07,"C",3,3.84,0,5,0.502,9,"N","N","Y","Gp5","Gp3","Y","living_expenses"
"NoDefault","Y",9000,"36months",0.1183,298.21,"B",1,10.83,1,11,0.414,25,"N","N","Y","Gp4","Gp3","Y","credit_card"
"NoDefault","Y",5000,"36months",0.1071,163.01,"B",10,6.95,0,10,0.708,20,"Y","N","N","Gp2","Gp4","N","debt_consolidation"
"NoDefault","Y",5500,"36months",0.1189,182.41,"B",0,18.45,1,12,0.679,32,"N","N","N","Gp3","Gp4","Y","living_expenses"
"NoDefault","Y",22500,"60months",0.1349,517.61,"C",3,19.44,0,12,0.23,34,"N","N","N","Gp2","Gp2","Y","business"
"NoDefault","Y",3200,"36months",0.1632,113.01,"E",1,20.15,0,13,0.997,16,"N","N","N","Gp2","Gp3","N","debt_consolidation"
"NoDefault","Y",8000,"36months",0.1114,262.43,"B",0,13.52,3,14,0.135,32,"N","N","N","Gp3","Gp2","N","other"
"NoDefault","Y",9000,"36months",0.1186,298.33,"B",10,7.09,0,12,0.319,38,"Y","N","Y","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",8000,"36months",0.1186,265.18,"B",2,8.13,1,6,0.812,25,"N","N","Y","Gp1","Gp3","N","credit_card"
"NoDefault","Y",4000,"60months",0.1879,103.31,"E",1,5.55,0,4,0.751,4,"N","N","Y","Gp1","Gp2","Y","debt_consolidation"
"NoDefault","Y",14400,"36months",0.16,506.27,"E",2,14.86,0,9,0.537,12,"N","N","Y","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",13000,"60months",0.1942,340.24,"E",0,9.82,0,6,0.899,9,"N","N","N","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",18200,"36months",0.0888,577.74,"B",4,22.03,1,3,0.486,13,"N","N","N","Gp1","Gp4","Y","debt_consolidation"
"NoDefault","Y",9000,"36months",0.1149,296.75,"B",10,2.85,0,11,0.615,20,"Y","N","Y","Gp5","Gp3","N","debt_consolidation"
"NoDefault","N",25000,"60months",0.2053,436.68,"G",1,8.59,4,15,0.788,55,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"NoDefault","Y",2400,"36months",0.1025,77.73,"B",1,2.64,0,4,0.105,5,"N","N","N","Gp1","Gp1","Y","debt_consolidation"
"NoDefault","Y",6000,"36months",0.0617,183,"A",10,3.3,0,6,0.348,17,"Y","N","Y","Gp3","Gp2","Y","debt_consolidation"
"NoDefault","Y",5700,"36months",0.0749,177.28,"A",0,7.22,0,4,0.252,7,"N","N","N","Gp1","Gp2","Y","other"
"NoDefault","Y",7800,"36months",0.1099,255.33,"B",10,17.95,0,17,0.646,40,"Y","N","Y","Gp4","Gp5","N","living_expenses"
"NoDefault","Y",14400,"36months",0.089,457.25,"A",0,14.85,0,12,0.55,38,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
